time	close	high	low	open	volumeto	volumefrom
1526964360	1190.41	1190.56	1189.73	1190.35	9.49	11294.19
1526964420	1190.42	1190.43	1190.32	1190.41	4.44	5297.82
1526964480	1190.83	1190.97	1190.42	1190.42	5.98	7123.66
1526964540	1191.08	1191.6	1190.88	1190.88	5.76	6855.86
1526964600	1191.69	1191.69	1190.63	1191.01	3.99	4747.77
1526964660	1191.73	1191.87	1191.55	1191.69	39.9	47487.1
1526964720	1190.75	1191.78	1190.2	1191.73	15.21	18117.56
1526964780	1191.05	1191.05	1190.76	1190.78	4.64	5542.16
1526964840	1190.22	1191.07	1190.22	1191.04	10.77	12842.03
1526964900	1191.24	1191.24	1190.2	1190.2	97.85	120758.65
1526964960	1190.54	1191.27	1190.41	1191.18	10.9	12999.42
1526965020	1190.54	1190.64	1190.49	1190.54	0.822	981.85
1526965080	1190.57	1190.67	1190.51	1190.51	10.02	11906.6
1526965140	1190.44	1190.63	1190.39	1190.57	16.7	20061.64
1526965200	1190.46	1190.53	1190.35	1190.44	19.42	23093.03
1526965260	1190.33	1190.52	1190.23	1190.46	76.01	90601.79
1526965320	1190.19	1190.42	1190.19	1190.33	13.55	16113.49
1526965380	1190.11	1190.22	1190.04	1190.19	16.23	19356.03
1526965440	1190.54	1190.6	1190.51	1190.51	3.14	3731.3
1526965500	1190.43	1190.63	1189.99	1190.52	14.12	16821.31
1526965560	1189.9	1190.43	1189.58	1190.43	6.07	7219.23
1526965620	1190.32	1190.38	1189.19	1189.9	18.35	21832.23
1526965680	1189.08	1190.35	1189.08	1190.35	41.41	49128.1
1526965740	1189.06	1189.08	1189.01	1189.08	98.07	116705.27
1526965800	1191.98	1191.98	1189.06	1189.06	114.75	136577.58
1526965860	1192.74	1192.74	1191.59	1191.98	10.29	12278.41
1526965920	1193.65	1193.7	1192.74	1192.74	17.07	20361.27
1526965980	1193.89	1194	1193.65	1193.65	15.65	18674.2
1526966040	1193.86	1193.89	1193.65	1193.89	12.05	14371.38
1526966100	1193.05	1193.9	1193.05	1193.86	19.58	23376.35
1526966160	1192.72	1193.19	1192.42	1193.05	5.76	6874.25
1526966220	1192.44	1193.25	1192.44	1192.55	15.57	18561.43
1526966280	1191.7	1192.44	1191.7	1192.44	16.17	19288.12
1526966340	1191.72	1192.35	1191.72	1191.86	9.83	11722.46
1526966400	1192.15	1192.15	1191.52	1191.72	3.82	4551.93
1526966460	1191.3	1192.15	1191.29	1192.15	9.05	10793.96
1526966520	1192.13	1192.14	1190.96	1191.3	10.02	12273.85
1526966580	1192.6	1192.93	1192.17	1192.18	11.48	13698.14
1526966640	1191.97	1192.65	1191.97	1192.6	2.02	2412.95
1526966700	1192.23	1192.82	1191.97	1191.97	7.3	8710.16
1526966760	1192.57	1192.78	1192.32	1192.41	9.29	11105.79
1526966820	1192.53	1192.57	1192.48	1192.57	4.66	5563.57
1526966880	1192.16	1192.54	1192.01	1192.53	8.39	10010.25
1526966940	1191.99	1192.16	1191.93	1192.16	2.12	2536.97
1526967000	1192.13	1192.28	1191.84	1191.99	19.14	22832.3
1526967060	1192.48	1192.7	1192.11	1192.13	5.78	6907.85
1526967120	1192.24	1192.79	1192.24	1192.49	12.33	14717.82
1526967180	1192.32	1192.37	1192.24	1192.24	31.11	37271.75
1526967240	1191.87	1192.35	1191.82	1192.29	6.62	7917.94
1526967300	1191.74	1192.29	1191.74	1192.08	6.84	8153.98
1526967360	1191.64	1191.74	1191.62	1191.74	3.45	4120.04
1526967420	1191.75	1191.75	1191.66	1191.7	8.26	9856.45
1526967480	1192.83	1194.22	1191.75	1191.75	69.06	82334.99
1526967540	1193.21	1193.21	1192.44	1192.83	2.81	3347.34
1526967600	1193.76	1193.76	1192.1	1193.21	18.03	21516.19
1526967660	1194.25	1194.25	1193.71	1193.76	23.33	27895.5
1526967720	1195.54	1195.64	1194.25	1194.25	45.81	54801.64
1526967780	1195.86	1195.91	1194.61	1194.61	10.06	12026.48
1526967840	1195.29	1195.76	1195.21	1195.73	20.95	25043.75
1526967900	1195.23	1195.37	1194.78	1195.32	31.38	37550.78
1526967960	1194.92	1195.23	1194.85	1195.23	1.19	1418.85
1526968020	1195.19	1195.35	1194.92	1194.92	23.01	27540.25
1526968080	1194.91	1195.21	1194.83	1195.19	19.44	23225.8
1526968140	1196.62	1197.39	1194.13	1194.79	87.35	104613.97
1526968200	1196.11	1196.62	1196.05	1196.62	1.68	2009.45
1526968260	1196.18	1196.5	1196.02	1196.11	3.54	4240.27
1526968320	1195.18	1196.18	1195.07	1196.18	12.33	14742.84
1526968380	1195.2	1195.22	1195.02	1195.18	7.6	9089.07
1526968440	1195.27	1195.27	1195.08	1195.08	6.25	7477.14
1526968500	1195.25	1195.32	1195.25	1195.27	6.38	7637.67
1526968560	1195.31	1195.39	1195.25	1195.25	1.19	1422.72
1526968620	1196.07	1196.16	1195.14	1195.32	6.89	8251.45
1526968680	1196.04	1196.23	1195.93	1196.07	7.75	9272.34
1526968740	1192.01	1196.04	1192.01	1196.04	70.14	83722.82
1526968800	1190.95	1192.01	1190.87	1192.01	50.73	60445.38
1526968860	1190.76	1191.22	1190.76	1190.94	15.55	18526.61
1526968920	1190.63	1190.86	1190.54	1190.76	8.14	9701.71
1526968980	1190.81	1191	1190.68	1190.68	6.78	8076.1
1526969040	1190.63	1190.81	1190.58	1190.81	18	21426.7
1526969100	1191.38	1191.49	1190.58	1190.63	16.56	19719.72
1526969160	1191.84	1191.84	1191.09	1191.38	4.64	5537.61
1526969220	1193.87	1194.06	1191.84	1191.84	18.31	21863.34
1526969280	1194.17	1194.17	1193.37	1193.87	11.48	13715.36
1526969340	1194.29	1194.29	1194.1	1194.17	10.99	13130.52
1526969400	1195.06	1195.08	1194.28	1194.28	25.17	30103.77
1526969460	1198.45	1198.5	1195.06	1195.06	83.52	100008.83
1526969520	1201.95	1201.95	1198.39	1198.69	48.46	58247.17
1526969580	1199.08	1202.53	1198.93	1202.04	29.81	35798.16
1526969640	1203.26	1203.28	1199.08	1199.08	72.84	87487.7
1526969700	1203.22	1203.63	1202.76	1203.26	22.79	27423.89
1526969760	1202.41	1203.22	1201.29	1203.22	2.63	3163.47
1526969820	1202.45	1202.45	1201.97	1202.41	9.34	11212.61
1526969880	1201.75	1202.78	1201.65	1202.39	11.14	13398.18
1526969940	1201.38	1201.95	1201.34	1201.75	13.7	16463.61
1526970000	1199.86	1201.45	1199.57	1201.38	8.84	10621.29
1526970060	1201.66	1201.66	1199.29	1199.86	27.02	32427.12
1526970120	1201.26	1201.65	1201.2	1201.63	2.86	3441.54
1526970180	1200.81	1201.41	1200.66	1201.26	8.15	9791.26
1526970240	1201.36	1201.7	1200.53	1200.85	18.06	21700.56
1526970300	1201.43	1201.52	1201.15	1201.36	7.16	8606.31
1526970360	1201.47	1201.56	1201.47	1201.47	1.21	1450.72
1526970420	1202.37	1202.37	1201.42	1201.47	29.46	35403.05
1526970480	1202.1	1202.62	1202.1	1202.37	20.78	24993.91
1526970540	1202.07	1202.76	1201.88	1202.1	8.08	9727.76
1526970600	1202.83	1203.23	1202.07	1202.07	22.96	27627.41
1526970660	1201.56	1202.83	1201.44	1202.83	16.66	20031.55
1526970720	1201.89	1202.14	1201.56	1201.56	16.6	19947.67
1526970780	1201.59	1201.92	1201.59	1201.87	7.58	9171.8
1526970840	1202.9	1203	1201.59	1201.59	34.6	41772.32
1526970900	1202.87	1202.91	1202.46	1202.91	10.51	12654.9
1526970960	1203.51	1203.51	1202.63	1202.87	19.23	23122.7
1526971020	1204.78	1205.11	1203.19	1203.19	58.25	70120.18
1526971080	1205.76	1205.88	1204.72	1204.78	9.77	11777.56
1526971140	1207.79	1207.93	1205.72	1205.76	54.77	66111.79
1526971200	1205.43	1208.16	1205.15	1207.79	37.06	44746
1526971260	1206.86	1206.9	1203.91	1205.18	43.95	53034.83
1526971320	1206.33	1207.01	1206.03	1207.01	7.5	9051.02
1526971380	1206.24	1206.44	1205.89	1206.33	13.15	15853.84
1526971440	1205.09	1206.24	1205.09	1206.24	26.99	32525.1
1526971500	1204.9	1205.2	1204.84	1205.09	11.32	13635.09
1526971560	1204.43	1204.92	1204.43	1204.9	51.76	62391.47
1526971620	1204.71	1205.07	1204.43	1204.43	64.86	78073.4
1526971680	1205.31	1205.31	1204.33	1204.71	6.75	8133.25
1526971740	1205.23	1205.34	1205.23	1205.31	14.58	17581.17
1526971800	1205.45	1205.45	1205.23	1205.33	65.08	78332.99
1526971860	1205.71	1205.71	1204.66	1205.45	61.34	73910.79
1526971920	1205.38	1205.71	1205.38	1205.71	6.54	7884.16
